"tick","donation-normed-small","donation-small","donation-valued-small"
1.0,55.0,60.12147519731583,95.0
2.0,55.0,60.080005080007616,95.0
3.0,55.0,60.039526306789696,95.0
4.0,55.0,60.0,95.0
5.0,55.0,59.96138938356833,95.0
6.0,55.0,59.92365963917331,95.0
7.0,55.0,59.88677777425221,95.0
8.0,55.0,59.85071250072666,95.0
9.0,55.0,59.81543412343077,95.0
10.0,55.0,59.78091443733757,95.0
11.0,55.0,59.74712663277541,95.0
12.0,55.0,59.71404520791032,95.0
13.0,55.0,59.68164588784522,95.0
14.0,55.0,59.64990554975277,95.0
15.0,55.0,59.61880215351701,95.0
16.0,55.0,59.58831467741123,95.0
17.0,55.0,59.55842305838552,95.0
18.0,55.0,59.52910813657838,95.0
19.0,55.0,59.5003516037041,95.0
20.0,55.0,59.47213595499957,95.0
21.0,55.0,59.44444444444444,95.0
22.0,55.0,59.41726104299386,95.0
23.0,55.0,59.39057039958761,95.0
24.0,55.0,59.364357804719845,95.0
25.0,55.0,59.338609156373124,95.0
26.0,55.0,59.31331092813754,95.0
27.0,55.0,59.288450139351184,95.0
28.0,55.0,59.26401432711221,95.0
29.0,55.0,59.23999152002544,95.0
30.0,55.0,59.21637021355784,95.0
31.0,55.0,59.19313934688767,95.0
32.0,55.0,59.170288281141495,95.0
33.0,55.0,59.147806778921705,95.0
34.0,55.0,59.12568498503517,95.0
35.0,55.0,59.10391340834062,95.0
36.0,55.0,59.08248290463863,95.0
37.0,55.0,59.06138466053448,95.0
38.0,55.0,59.040610178208844,95.0
39.0,55.0,59.02015126103685,95.0
40.0,55.0,59.0,95.0
41.0,55.0,58.98014876083995,95.0
42.0,55.0,58.9605901719067,95.0
43.0,55.0,58.941317112657174,95.0
44.0,55.0,58.92232270276369,95.0
45.0,55.0,58.903600291794135,95.0
46.0,55.0,58.88514344942905,95.0
47.0,55.0,58.86694595618265,95.0
48.0,55.0,58.84900179459751,95.0
49.0,55.0,58.83130514088461,95.0
50.0,55.0,58.81385035698237,95.0
51.0,55.0,58.79663198300999,95.0
52.0,55.0,58.77964473009227,95.0
53.0,55.0,58.762883473534394,95.0
54.0,55.0,58.746343246326774,95.0
55.0,55.0,58.73001923296126,95.0
56.0,55.0,58.71390676354104,95.0
57.0,55.0,58.69800130816819,95.0
58.0,55.0,58.68229847159329,95.0
59.0,55.0,58.66679398811284,95.0
60.0,55.0,58.65148371670111,95.0
61.0,55.0,58.63636363636364,95.0
62.0,55.0,58.621429841700746,95.0
63.0,55.0,58.60667853866973,95.0
64.0,55.0,58.5921060405355,95.0
65.0,55.0,58.57770876399966,95.0
66.0,55.0,58.56348322549899,95.0
67.0,55.0,58.54942603766445,95.0
68.0,55.0,58.53553390593274,95.0
69.0,55.0,58.521803625302496,95.0
70.0,55.0,58.508232077228115,95.0
71.0,55.0,58.49481622664415,95.0
72.0,55.0,58.481553119113954,95.0
73.0,55.0,58.46843987809648,95.0
74.0,55.0,58.45547370232544,95.0
75.0,55.0,58.44265186329548,95.0
76.0,55.0,58.42997170285018,95.0
77.0,55.0,58.417430630867045,95.0
78.0,55.0,58.405026123035,95.0
79.0,55.0,58.39275571871988,95.0
80.0,55.0,58.380617018914066,95.0
81.0,55.0,58.36860768426608,95.0
82.0,55.0,58.35672543318676,95.0
83.0,55.0,58.34496804002836,95.0
84.0,55.0,58.333333333333336,95.0
85.0,55.0,58.3218191941496,95.0
86.0,55.0,58.31042355440947,95.0
87.0,55.0,58.29914439536929,95.0
88.0,55.0,58.28797974610714,95.0
89.0,55.0,58.276927682076156,95.0
90.0,55.0,58.265986323710905,95.0
91.0,55.0,58.25515383508464,95.0
92.0,55.0,58.24442842261524,95.0
93.0,55.0,58.23380833381777,95.0
94.0,55.0,58.22329185610152,95.0
95.0,55.0,58.21287731561,95.0
96.0,55.0,58.20256307610174,95.0
97.0,55.0,58.19234753787049,95.0
98.0,55.0,58.182229136702915,95.0
99.0,55.0,58.17220634287258,95.0
100.0,55.0,58.162277660168385,95.0
101.0,55.0,58.1524416249564,95.0
102.0,55.0,58.142696805273545,95.0
103.0,55.0,58.133041799951826,95.0
104.0,55.0,58.123475237772126,95.0
105.0,55.0,58.11399577664609,95.0
106.0,55.0,58.10460210282533,95.0
107.0,55.0,58.09529293013655,95.0
108.0,55.0,58.08606699924184,95.0
109.0,55.0,58.07692307692308,95.0
110.0,55.0,58.06785995538948,95.0
111.0,55.0,58.058876451607496,95.0
112.0,55.0,58.04997140665209,95.0
113.0,55.0,58.04114368507882,95.0
114.0,55.0,58.03239217431562,95.0
115.0,55.0,58.02371578407382,95.0
116.0,55.0,58.01511344577764,95.0
117.0,55.0,58.00658411201132,95.0
118.0,55.0,57.99812675598345,95.0
119.0,55.0,57.98974037100774,95.0
120.0,55.0,57.981423969999724,95.0
121.0,55.0,57.97317658498867,95.0
122.0,55.0,57.9649972666444,95.0
123.0,55.0,57.95688508381829,95.0
124.0,55.0,57.94883912309795,95.0
125.0,55.0,57.940858488375234,95.0
126.0,55.0,57.932942300427065,95.0
127.0,55.0,57.92508969650852,95.0
128.0,55.0,57.91729982995789,95.00000000000001
129.0,55.0,57.909571869813234,94.99999999999999
130.0,55.0,57.901905000440046,95.0
131.0,55.0,57.89429842116969,95.0
