"tick","big-power","big-universalsim","small-power","small-universalsim"
1.0,0.0,66.0,0.0,4.0
2.0,0.0,66.0,0.0,4.0
3.0,0.0,66.0,0.0,4.0
4.0,0.0,66.0,0.0,4.0
5.0,10.0,66.0,1.0,4.0
6.0,10.0,66.0,1.0,4.0
7.0,10.0,66.0,1.0,4.0
8.0,10.0,66.0,1.0,4.0
9.0,10.0,66.0,1.0,4.0
10.0,10.0,66.0,1.0,4.0
11.0,10.0,66.0,1.0,4.0
12.0,10.0,66.0,1.0,4.0
13.0,10.0,66.0,1.0,4.0
14.0,10.0,66.0,1.0,4.0
15.0,10.0,66.0,1.0,4.0
16.0,10.0,66.0,1.0,4.0
17.0,10.0,66.0,1.0,4.0
18.0,10.0,66.0,1.0,4.0
19.0,10.0,66.0,1.0,4.0
20.0,10.0,66.0,1.0,4.0
21.0,10.0,66.0,1.0,4.0
22.0,10.0,66.0,1.0,4.0
23.0,10.0,66.0,1.0,4.0
24.0,10.0,66.0,1.0,4.0
25.0,10.0,66.0,1.0,4.0
26.0,10.0,66.0,1.0,4.0
27.0,10.0,66.0,1.0,4.0
28.0,10.0,66.0,1.0,4.0
29.0,10.0,66.0,1.0,4.0
30.0,10.0,66.0,1.0,4.0
31.0,10.0,66.0,1.0,4.0
32.0,10.0,66.0,1.0,4.0
33.0,10.0,66.0,1.0,4.0
34.0,10.0,66.0,1.0,4.0
35.0,10.0,66.0,1.0,4.0
36.0,10.0,66.0,1.0,4.0
37.0,10.0,66.0,1.0,4.0
38.0,10.0,66.0,1.0,4.0
39.0,10.0,66.0,1.0,4.0
40.0,10.0,66.0,1.0,4.0
41.0,10.0,66.0,1.0,4.0
42.0,10.0,66.0,1.0,4.0
43.0,10.0,66.0,1.0,4.0
44.0,10.0,66.0,1.0,4.0
45.0,10.0,66.0,1.0,4.0
46.0,10.0,66.0,1.0,4.0
47.0,10.0,66.0,1.0,4.0
48.0,10.0,66.0,1.0,4.0
49.0,10.0,66.0,1.0,4.0
